"Location","Age group","TimeFrame","EnteringNumber","ExitingNumber","AdoptionNumber","ChildPopulation"
"Alabama","16 to 20",2002-01-01,269,503,8,192918
"Alabama","16 to 20",2001-01-01,233,525,3,192869
"Alabama","11 to 15",2001-01-01,740,517,38,321970
"Alabama","6 to 10",2001-01-01,575,452,80,313754
"Alabama","1 to 5",2001-01-01,715,631,110,294470
"Alabama","<1",2001-01-01,407,120,7,61537
"Alabama","<1",2000-01-01,409,132,6,59617
"Alabama","1 to 5",2000-01-01,646,603,98,296115
"Alabama","6 to 10",2000-01-01,604,514,66,319595
"Alabama","11 to 15",2000-01-01,784,544,27,319014
"Alabama","16 to 20",2000-01-01,215,512,5,193237
"Alaska","<1",2000-01-01,159,26,9,9445
"Alaska","1 to 5",2000-01-01,354,274,75,48087
"Alaska","6 to 10",2000-01-01,326,284,89,55186
"Alaska","11 to 15",2000-01-01,225,213,28,56381
"Alaska","16 to 20",2000-01-01,32,116,1,30658
"Alaska","16 to 20",2001-01-01,29,104,5,32171
"Alaska","11 to 15",2001-01-01,181,185,35,56668
"Alaska","6 to 10",2001-01-01,297,315,94,53312
"Alaska","1 to 5",2001-01-01,352,354,143,47025
"Alaska","<1",2001-01-01,140,38,1,9826
"Alaska","<1",2002-01-01,163,27,1,9695
"Alaska","1 to 5",2002-01-01,326,305,121,47075
"Alaska","6 to 10",2002-01-01,280,218,65,51898
"Alaska","11 to 15",2002-01-01,258,201,41,57242
"Alaska","16 to 20",2002-01-01,41,93,2,32628
"Alaska","16 to 20",2003-01-01,42,74,5,33029
"Alaska","11 to 15",2003-01-01,226,166,29,57192
"Alaska","6 to 10",2003-01-01,237,221,77,50245
"Alaska","1 to 5",2003-01-01,304,293,91,47252
"Alaska","<1",2003-01-01,134,27,6,9830
"Alaska","<1",2004-01-01,119,29,4,9959
"Alaska","1 to 5",2004-01-01,229,245,73,47527
"Alaska","6 to 10",2004-01-01,153,190,68,49410
"Alaska","11 to 15",2004-01-01,130,159,35,57077
"Alaska","16 to 20",2004-01-01,34,87,5,33042
"Alaska","16 to 20",2005-01-01,49,127,6,32891
"Alaska","11 to 15",2005-01-01,223,184,44,55985
"Alaska","6 to 10",2005-01-01,208,193,67,48535
"Alaska","1 to 5",2005-01-01,305,258,87,48139
"Alaska","<1",2005-01-01,154,25,NA,10197
"Alaska","<1",2006-01-01,177,19,2,10215
"Alaska","1 to 5",2006-01-01,307,276,112,49170
"Alaska","6 to 10",2006-01-01,210,176,58,48520
"Alaska","11 to 15",2006-01-01,192,121,34,54454
"Alaska","16 to 20",2006-01-01,36,97,6,33746
"Alaska","16 to 20",2007-01-01,29,148,11,33932
"Alaska","11 to 15",2007-01-01,138,140,35,52610
"Alaska","6 to 10",2007-01-01,256,175,76,48583
"Alaska","1 to 5",2007-01-01,311,261,129,49154
"Alaska","<1",2007-01-01,163,38,3,10650
"Alaska","<1",2008-01-01,190,35,3,10815
"Alaska","1 to 5",2008-01-01,342,339,133,50028
"Alaska","6 to 10",2008-01-01,213,228,77,48857
"Alaska","11 to 15",2008-01-01,144,179,50,50957
