"Location","Age group","TimeFrame","EnteringNumber","ExitingNumber","AdoptionNumber","ChildPopulation"
"Florida","1 to 5",2011-01-01,5864,5822,1585,1078700
"Florida","11 to 15",2011-01-01,2704,2274,401,1142477
"Florida","16 to 20",2011-01-01,1064,2111,134,717621
"Florida","6 to 10",2011-01-01,3513,3331,747,1087859
"Florida","<1",2012-01-01,2789,753,88,213768
"Florida","1 to 5",2012-01-01,5719,6358,1782,1081722
"Florida","6 to 10",2012-01-01,3453,3718,794,1093720
"Florida","11 to 15",2012-01-01,2751,2458,478,1148300
"Florida","16 to 20",2012-01-01,957,2045,152,708091
"Florida","<1",2014-01-01,2888,739,129,218442
"Florida","1 to 5",2014-01-01,5599,5516,1702,1084724
"Florida","6 to 10",2014-01-01,3631,3459,827,1130175
"Florida","11 to 15",2014-01-01,2749,2095,452,1148560
"Florida","16 to 20",2014-01-01,936,1720,156,705126
"Florida","<1",2016-01-01,3368,711,132,226369
"Florida","1 to 5",2016-01-01,6173,6463,1904,1127186
"Florida","6 to 10",2016-01-01,4130,3927,921,1155514
"Florida","11 to 15",2016-01-01,3016,2477,458,1165406
"Florida","16 to 20",2016-01-01,983,1852,157,726479
"Florida","6 to 10",2017-01-01,3819,3791,945,1164873
"Florida","16 to 20",2017-01-01,939,1798,143,734611
"Florida","11 to 15",2017-01-01,2765,2454,566,1178622
"Florida","1 to 5",2017-01-01,5900,6315,2035,1143430
"Florida","<1",2017-01-01,3375,732,139,223436
"Florida","<1",2019-01-01,3135,694,152,220604
"Florida","1 to 5",2019-01-01,5072,6468,2602,1153357
"Florida","6 to 10",2019-01-01,3300,3563,1142,1166983
"Florida","11 to 15",2019-01-01,2595,2384,653,1215401
"Florida","16 to 20",2019-01-01,1491,1414,165,720902
"Florida","16 to 20",2021-01-01,780,1386,169,742982
"Florida","11 to 15",2021-01-01,2392,2202,589,1246876
"Florida","6 to 10",2021-01-01,2936,3118,1041,1167220
"Florida","1 to 5",2021-01-01,4258,5350,2038,1116084
"Florida","<1",2021-01-01,2845,522,101,207375
"Georgia","6 to 10",2021-01-01,909,1312,422,686643
"Georgia","11 to 15",2021-01-01,1117,1131,251,753429
"Georgia","16 to 20",2021-01-01,373,1058,41,445936
"Georgia","<1",2021-01-01,867,149,5,120640
"Georgia","1 to 5",2021-01-01,1452,1889,676,643660
"Georgia","<1",2019-01-01,1197,264,14,125209
"Georgia","1 to 5",2019-01-01,1886,2554,814,664772
"Georgia","6 to 10",2019-01-01,1359,1837,505,692530
"Georgia","11 to 15",2019-01-01,1530,1456,276,733632
"Georgia","16 to 20",2019-01-01,496,1198,59,437095
"Georgia","<1",2017-01-01,1348,287,16,128346
"Georgia","1 to 5",2017-01-01,2512,2458,757,666108
"Georgia","11 to 15",2017-01-01,1608,1318,188,719543
"Georgia","16 to 20",2017-01-01,597,1183,32,437382
"Georgia","6 to 10",2017-01-01,1756,1645,408,704719
"Georgia","<1",2016-01-01,1448,368,18,130793
"Georgia","1 to 5",2016-01-01,2634,2287,622,665690
"Georgia","6 to 10",2016-01-01,1879,1690,310,707734
"Georgia","11 to 15",2016-01-01,1888,1372,140,716647
"Georgia","16 to 20",2016-01-01,701,1213,31,430927
"Georgia","<1",2012-01-01,1015,350,24,131237
"Georgia","1 to 5",2012-01-01,1954,2067,494,681306
"Georgia","6 to 10",2012-01-01,1362,1317,235,696774
"Georgia","11 to 15",2012-01-01,1380,1182,130,701052
"Georgia","16 to 20",2012-01-01,531,1038,32,415960
"Georgia","<1",2014-01-01,1161,380,14,128820
"Georgia","1 to 5",2014-01-01,2266,1990,512,665326
"Georgia","6 to 10",2014-01-01,1732,1415,209,707620
"Georgia","11 to 15",2014-01-01,1736,1206,118,709947
"Georgia","16 to 20",2014-01-01,624,1015,34,415009
"Georgia","<1",2011-01-01,1021,361,31,131842
"Georgia","1 to 5",2011-01-01,2061,1931,568,687596
"Georgia","11 to 15",2011-01-01,1451,1150,177,693091
"Georgia","16 to 20",2011-01-01,518,1068,43,420473
"Georgia","6 to 10",2011-01-01,1367,1102,252,696185
"Georgia","16 to 20",2020-01-01,376,1113,39,449602
"Georgia","11 to 15",2020-01-01,1115,1202,241,755663
"Georgia","6 to 10",2020-01-01,953,1516,479,687731
"Georgia","1 to 5",2020-01-01,1396,2214,811,650844
"Georgia","<1",2020-01-01,972,203,15,122315
"Georgia","<1",2009-01-01,1038,406,22,134125
"Georgia","<1",2015-01-01,1325,357,13,130983
"Georgia","1 to 5",2015-01-01,2592,2040,466,663786
"Georgia","6 to 10",2015-01-01,1971,1566,289,707603
"Georgia","11 to 15",2015-01-01,1946,1361,114,715229
"Georgia","16 to 20",2015-01-01,747,1188,30,420447
"Georgia","<1",2010-01-01,906,369,22,132596
"Georgia","1 to 5",2010-01-01,1588,2165,559,690836
"Georgia","6 to 10",2010-01-01,1072,1343,353,699321
"Georgia","11 to 15",2010-01-01,1324,1278,214,685462
"Georgia","16 to 20",2010-01-01,579,1283,48,425828
"Georgia","16 to 20",2009-01-01,562,1551,65,427511
"Georgia","11 to 15",2009-01-01,1340,1468,216,681014
"Georgia","6 to 10",2009-01-01,1171,1658,361,690381
"Georgia","1 to 5",2009-01-01,1746,2687,725,697700
"Georgia","16 to 20",2018-01-01,608,1243,57,439577
"Georgia","11 to 15",2018-01-01,1717,1462,223,726563
"Georgia","6 to 10",2018-01-01,1770,1682,406,699325
"Georgia","1 to 5",2018-01-01,2513,2556,773,664697
"Georgia","<1",2018-01-01,1474,314,10,127445
"Georgia","<1",2008-01-01,1240,481,21,142686
"Georgia","1 to 5",2008-01-01,1938,2988,676,693517
"Georgia","6 to 10",2008-01-01,1362,2058,382,678997
"Georgia","11 to 15",2008-01-01,1582,1780,211,681690
"Georgia","16 to 20",2008-01-01,600,1554,50,427410
"Georgia","<1",2013-01-01,962,318,21,128175
"Georgia","1 to 5",2013-01-01,1831,2049,532,674148
"Georgia","6 to 10",2013-01-01,1284,1415,289,701730
"Georgia","11 to 15",2013-01-01,1427,1209,150,705900
"Georgia","16 to 20",2013-01-01,500,944,39,413426
"Georgia","16 to 20",2007-01-01,726,1643,45,421180
"Georgia","11 to 15",2007-01-01,2140,1985,187,680264
"Georgia","6 to 10",2007-01-01,1859,2132,352,662416
"Georgia","1 to 5",2007-01-01,2726,3255,672,685296
"Georgia","<1",2007-01-01,1606,590,15,144910
"Georgia","<1",2006-01-01,1660,700,22,139467
"Georgia","1 to 5",2006-01-01,2834,3445,677,677902
"Georgia","6 to 10",2006-01-01,2019,2250,299,638717
"Georgia","11 to 15",2006-01-01,2517,2362,197,674693
"Georgia","16 to 20",2006-01-01,734,1749,55,407804
"Georgia","16 to 20",2005-01-01,756,1611,45,390032
"Georgia","11 to 15",2005-01-01,2839,2524,157,670011
"Georgia","6 to 10",2005-01-01,2298,2456,287,625126
"Georgia","1 to 5",2005-01-01,3234,3757,623,660959
"Georgia","<1",2005-01-01,1760,716,13,135578
"Georgia","16 to 20",2003-01-01,585,1215,36,371498
"Georgia","11 to 15",2003-01-01,2682,2355,198,650651
"Georgia","6 to 10",2003-01-01,2370,2328,324,618335
"Georgia","1 to 5",2003-01-01,3236,3340,536,631697
"Georgia","<1",2003-01-01,1689,704,14,131016
"Georgia","<1",2004-01-01,1829,705,17,134288
"Georgia","1 to 5",2004-01-01,3579,3717,685,643952
"Georgia","6 to 10",2004-01-01,2605,2579,330,616986
"Georgia","11 to 15",2004-01-01,2990,2568,215,661013
"Georgia","16 to 20",2004-01-01,693,1524,35,378589
"Georgia","<1",2002-01-01,1585,611,13,131046
"Georgia","1 to 5",2002-01-01,2926,3098,506,617996
"Georgia","6 to 10",2002-01-01,2268,2314,382,619050
"Georgia","11 to 15",2002-01-01,2408,2267,202,637259
"Georgia","16 to 20",2002-01-01,575,1141,32,365215
"Georgia","16 to 20",2001-01-01,473,641,22,359852
"Georgia","11 to 15",2001-01-01,2194,1754,158,620785
"Georgia","6 to 10",2001-01-01,2157,1924,364,621138
"Georgia","1 to 5",2001-01-01,2763,2420,454,600742
"Georgia","<1",2001-01-01,1471,511,3,133456
"Georgia","<1",2000-01-01,1270,314,12,122726
"Georgia","1 to 5",2000-01-01,1970,1455,424,592715
"Georgia","6 to 10",2000-01-01,1728,1344,441,624988
"Georgia","11 to 15",2000-01-01,1757,1145,183,601628
"Georgia","16 to 20",2000-01-01,291,399,31,355648
"Hawaii","<1",2000-01-01,306,102,11,15708
"Hawaii","1 to 5",2000-01-01,545,511,147,78585
"Hawaii","6 to 10",2000-01-01,499,471,102,85891
"Hawaii","11 to 15",2000-01-01,438,350,19,81810
"Hawaii","16 to 20",2000-01-01,140,246,1,48739
"Hawaii","16 to 20",2001-01-01,155,300,3,48869
"Hawaii","11 to 15",2001-01-01,509,417,32,83485
"Hawaii","6 to 10",2001-01-01,557,490,67,84377
"Hawaii","1 to 5",2001-01-01,603,564,136,76709
"Hawaii","<1",2001-01-01,367,147,22,16759
"Hawaii","<1",2002-01-01,399,133,17,16627
"Hawaii","1 to 5",2002-01-01,667,673,211,76853
"Hawaii","6 to 10",2002-01-01,540,533,95,82752
"Hawaii","11 to 15",2002-01-01,569,458,41,85004
"Hawaii","16 to 20",2002-01-01,173,298,2,48483
"Hawaii","16 to 20",2003-01-01,180,302,3,48585
"Hawaii","11 to 15",2003-01-01,587,520,39,86234
"Hawaii","6 to 10",2003-01-01,564,483,79,81131
"Hawaii","1 to 5",2003-01-01,627,650,178,77202
"Hawaii","<1",2003-01-01,369,161,19,17143
"Hawaii","<1",2004-01-01,389,137,18,18136
"Hawaii","1 to 5",2004-01-01,628,690,213,78576
"Hawaii","6 to 10",2004-01-01,539,530,101,80241
"Hawaii","11 to 15",2004-01-01,560,528,42,87608
"Hawaii","16 to 20",2004-01-01,188,312,1,49552
"Hawaii","16 to 20",2005-01-01,145,306,6,49794
"Hawaii","11 to 15",2005-01-01,480,486,48,88083
"Hawaii","6 to 10",2005-01-01,404,484,123,78566
"Hawaii","1 to 5",2005-01-01,496,610,252,80382
"Hawaii","<1",2005-01-01,366,131,23,17645
"Hawaii","<1",2006-01-01,294,124,17,17796
"Hawaii","1 to 5",2006-01-01,467,632,228,81885
"Hawaii","6 to 10",2006-01-01,349,458,102,77682
"Hawaii","11 to 15",2006-01-01,404,473,44,86924
"Hawaii","16 to 20",2006-01-01,159,321,6,51570
"Hawaii","16 to 20",2007-01-01,154,324,2,52439
"Hawaii","11 to 15",2007-01-01,398,405,33,85566
"Hawaii","6 to 10",2007-01-01,271,369,67,77340
"Hawaii","1 to 5",2007-01-01,411,586,156,82680
"Hawaii","<1",2007-01-01,213,101,7,18620
"Hawaii","<1",2008-01-01,194,78,6,18536
"Hawaii","1 to 5",2008-01-01,374,488,150,84926
"Hawaii","6 to 10",2008-01-01,302,375,73,78130
"Hawaii","11 to 15",2008-01-01,348,383,35,84160
"Hawaii","16 to 20",2008-01-01,163,329,9,52650
"Hawaii","<1",2013-01-01,180,53,3,18952
"Hawaii","1 to 5",2013-01-01,313,310,81,91298
"Hawaii","6 to 10",2013-01-01,233,263,48,85168
"Hawaii","11 to 15",2013-01-01,210,220,22,81458
"Hawaii","16 to 20",2013-01-01,85,133,5,47671
"Hawaii","<1",2018-01-01,230,71,8,17161
"Hawaii","1 to 5",2018-01-01,325,337,112,89959
"Hawaii","6 to 10",2018-01-01,265,260,40,85851
"Hawaii","11 to 15",2018-01-01,269,226,24,79661
"Hawaii","16 to 20",2018-01-01,135,126,5,45341
"Hawaii","16 to 20",2009-01-01,154,294,12,51959
"Hawaii","11 to 15",2009-01-01,302,348,36,82743
"Hawaii","6 to 10",2009-01-01,285,315,70,79923
"Hawaii","1 to 5",2009-01-01,391,404,156,86704
"Hawaii","<1",2009-01-01,200,86,5,18735
"Hawaii","<1",2010-01-01,149,60,3,18026
"Hawaii","1 to 5",2010-01-01,289,392,114,86641
"Hawaii","6 to 10",2010-01-01,231,285,67,82875
"Hawaii","11 to 15",2010-01-01,259,275,26,81800
"Hawaii","16 to 20",2010-01-01,101,236,6,51434
"Hawaii","<1",2015-01-01,220,68,6,18128
"Hawaii","1 to 5",2015-01-01,386,339,104,93015
"Hawaii","6 to 10",2015-01-01,240,245,51,84837
"Hawaii","11 to 15",2015-01-01,241,207,11,81069
"Hawaii","16 to 20",2015-01-01,102,119,4,46485
"Hawaii","<1",2020-01-01,152,39,3,16264
"Hawaii","1 to 5",2020-01-01,286,381,142,86828
"Hawaii","6 to 10",2020-01-01,207,241,40,88579
"Hawaii","11 to 15",2020-01-01,264,249,18,82859
"Hawaii","16 to 20",2020-01-01,120,147,3,47051
"Hawaii","<1",2011-01-01,153,54,5,19137
"Hawaii","1 to 5",2011-01-01,307,351,103,88004
"Hawaii","11 to 15",2011-01-01,249,249,32,81616
"Hawaii","16 to 20",2011-01-01,96,209,7,50217
"Hawaii","6 to 10",2011-01-01,220,255,51,83414
"Hawaii","<1",2012-01-01,160,66,5,18863
"Hawaii","1 to 5",2012-01-01,329,338,108,90187
"Hawaii","6 to 10",2012-01-01,226,261,49,83974
"Hawaii","11 to 15",2012-01-01,251,238,15,81703
"Hawaii","16 to 20",2012-01-01,105,196,10,49071
"Hawaii","<1",2014-01-01,205,71,4,18793
"Hawaii","1 to 5",2014-01-01,323,293,72,91658
"Hawaii","6 to 10",2014-01-01,254,237,29,85170
"Hawaii","11 to 15",2014-01-01,222,180,12,80971
"Hawaii","16 to 20",2014-01-01,72,138,4,46828
"Hawaii","<1",2016-01-01,222,71,4,18280
"Hawaii","1 to 5",2016-01-01,359,328,85,93071
"Hawaii","6 to 10",2016-01-01,258,216,26,84258
"Hawaii","11 to 15",2016-01-01,225,172,11,80549
"Hawaii","16 to 20",2016-01-01,99,110,3,46486
"Hawaii","6 to 10",2017-01-01,246,255,31,85289
"Hawaii","16 to 20",2017-01-01,146,121,NA,46189
"Hawaii","11 to 15",2017-01-01,239,223,12,79895
"Hawaii","1 to 5",2017-01-01,329,404,100,91467
"Hawaii","<1",2017-01-01,219,62,9,17629
"Hawaii","16 to 20",2021-01-01,109,130,8,46977
"Hawaii","11 to 15",2021-01-01,225,279,36,82478
"Hawaii","6 to 10",2021-01-01,232,278,71,88000
"Hawaii","1 to 5",2021-01-01,266,369,154,83795
"Hawaii","<1",2021-01-01,205,52,4,15480
"Hawaii","<1",2019-01-01,215,63,NA,16539
"Hawaii","1 to 5",2019-01-01,351,412,131,87602
"Hawaii","6 to 10",2019-01-01,280,278,50,86003
"Hawaii","11 to 15",2019-01-01,290,267,21,79066
"Hawaii","16 to 20",2019-01-01,136,133,4,44958
"Idaho","<1",2021-01-01,254,51,3,21743
"Idaho","1 to 5",2021-01-01,361,413,185,116316
"Idaho","6 to 10",2021-01-01,322,262,77,127577
"Idaho","11 to 15",2021-01-01,315,232,57,139790
"Idaho","16 to 20",2021-01-01,94,139,24,86703
"Idaho","<1",2019-01-01,199,57,4,21470
"Idaho","1 to 5",2019-01-01,374,489,201,117900
"Idaho","6 to 10",2019-01-01,319,318,63,125183
"Idaho","11 to 15",2019-01-01,319,253,46,132576
"Idaho","16 to 20",2019-01-01,111,172,14,75486
"Idaho","<1",2017-01-01,212,53,7,22346
"Idaho","1 to 5",2017-01-01,428,419,133,117433
"Idaho","11 to 15",2017-01-01,245,202,35,127189
"Idaho","16 to 20",2017-01-01,85,138,11,74528
"Idaho","6 to 10",2017-01-01,279,283,72,125469
"Idaho","<1",2016-01-01,227,57,1,22516
"Idaho","1 to 5",2016-01-01,428,383,86,115991
"Idaho","6 to 10",2016-01-01,323,282,54,124695
"Idaho","11 to 15",2016-01-01,245,208,31,125104
"Idaho","16 to 20",2016-01-01,91,146,13,73197
"Idaho","<1",2012-01-01,141,47,7,22276
"Idaho","1 to 5",2012-01-01,390,460,147,119194
"Idaho","6 to 10",2012-01-01,231,254,64,121545
"Idaho","11 to 15",2012-01-01,228,229,44,118773
"Idaho","16 to 20",2012-01-01,94,186,11,68693
"Idaho","<1",2014-01-01,153,58,8,22346
"Idaho","1 to 5",2014-01-01,372,449,105,115773
"Idaho","6 to 10",2014-01-01,290,358,72,124238
"Idaho","11 to 15",2014-01-01,249,222,23,121762
"Idaho","16 to 20",2014-01-01,74,140,10,69941
"Idaho","<1",2011-01-01,154,51,6,22901
"Idaho","1 to 5",2011-01-01,425,429,117,121113
"Idaho","11 to 15",2011-01-01,267,274,39,117614
"Idaho","16 to 20",2011-01-01,98,206,14,68680
"Idaho","6 to 10",2011-01-01,286,337,83,121205
"Idaho","<1",2020-01-01,185,53,3,21357
"Idaho","16 to 20",2020-01-01,90,178,20,85015
"Idaho","11 to 15",2020-01-01,223,210,57,137477
"Idaho","6 to 10",2020-01-01,249,244,76,125019
"Idaho","1 to 5",2020-01-01,334,428,197,115565
"Idaho","<1",2015-01-01,186,47,2,22960
"Idaho","1 to 5",2015-01-01,380,353,116,114764
"Idaho","6 to 10",2015-01-01,263,241,66,124404
"Idaho","11 to 15",2015-01-01,281,193,34,123462
"Idaho","16 to 20",2015-01-01,91,141,5,71072
"Idaho","<1",2010-01-01,172,68,4,23606
"Idaho","1 to 5",2010-01-01,448,494,168,122448
"Idaho","6 to 10",2010-01-01,336,321,82,120939
"Idaho","11 to 15",2010-01-01,297,243,45,115981
"Idaho","16 to 20",2010-01-01,133,209,14,69390
"Idaho","<1",2009-01-01,154,56,6,23793
"Idaho","16 to 20",2009-01-01,119,235,15,70225
"Idaho","11 to 15",2009-01-01,274,288,49,114529
"Idaho","6 to 10",2009-01-01,281,343,99,118685
"Idaho","1 to 5",2009-01-01,387,530,184,122528
"Idaho","16 to 20",2018-01-01,103,170,9,74918
"Idaho","11 to 15",2018-01-01,308,223,39,129906
"Idaho","6 to 10",2018-01-01,345,292,61,124993
"Idaho","1 to 5",2018-01-01,435,410,134,118117
"Idaho","<1",2018-01-01,228,48,2,21507
"Idaho","<1",2013-01-01,182,43,2,22583
"Idaho","1 to 5",2013-01-01,442,395,102,116978
"Idaho","6 to 10",2013-01-01,285,280,51,122641
"Idaho","11 to 15",2013-01-01,236,228,43,120184
"Idaho","16 to 20",2013-01-01,81,150,8,68914
"Idaho","<1",2008-01-01,188,65,6,24737
"Idaho","1 to 5",2008-01-01,432,499,126,120564
"Idaho","6 to 10",2008-01-01,280,371,66,115763
"Idaho","11 to 15",2008-01-01,306,315,32,114414
"Idaho","16 to 20",2008-01-01,145,223,8,70833
"Idaho","16 to 20",2007-01-01,126,267,4,70323
"Idaho","11 to 15",2007-01-01,327,295,37,112937
"Idaho","6 to 10",2007-01-01,374,361,55,112832
"Idaho","1 to 5",2007-01-01,486,475,92,117317
"Idaho","<1",2007-01-01,247,86,7,24821
"Idaho","<1",2006-01-01,233,80,10,23746
"Idaho","1 to 5",2006-01-01,500,507,85,113660
"Idaho","6 to 10",2006-01-01,310,323,49,109283
"Idaho","11 to 15",2006-01-01,357,325,28,111836
"Idaho","16 to 20",2006-01-01,152,236,5,69055
"Idaho","16 to 20",2005-01-01,151,230,14,67334
"Idaho","11 to 15",2005-01-01,415,322,36,111436
"Idaho","6 to 10",2005-01-01,378,329,43,105592
"Idaho","1 to 5",2005-01-01,527,426,52,109931
"Idaho","<1",2005-01-01,251,102,4,22898
"Idaho","<1",2004-01-01,225,97,2,22278
"Idaho","1 to 5",2004-01-01,449,409,80,105787
"Idaho","6 to 10",2004-01-01,328,298,55,102898
"Idaho","11 to 15",2004-01-01,405,318,32,110103
"Idaho","16 to 20",2004-01-01,150,215,7,66325
"Idaho","<1",2002-01-01,116,57,3,20815
"Idaho","1 to 5",2002-01-01,386,315,57,101043
"Idaho","6 to 10",2002-01-01,272,249,37,102026
"Idaho","11 to 15",2002-01-01,333,252,17,107835
"Idaho","16 to 20",2002-01-01,106,174,4,67218
"Idaho","16 to 20",2003-01-01,120,187,5,66562
"Idaho","11 to 15",2003-01-01,329,279,28,109231
"Idaho","6 to 10",2003-01-01,270,225,34,102347
"Idaho","1 to 5",2003-01-01,405,342,66,103046
"Idaho","<1",2003-01-01,168,68,5,21164
"Idaho","16 to 20",2001-01-01,109,152,2,67908
"Idaho","11 to 15",2001-01-01,333,295,21,106788
"Idaho","6 to 10",2001-01-01,299,257,33,102103
"Idaho","1 to 5",2001-01-01,342,323,73,98922
"Idaho","<1",2001-01-01,126,57,3,20753
"Idaho","<1",2000-01-01,109,51,11,19973
"Idaho","1 to 5",2000-01-01,307,286,67,97341
"Idaho","6 to 10",2000-01-01,251,239,43,102700
"Idaho","11 to 15",2000-01-01,340,262,17,106009
"Idaho","16 to 20",2000-01-01,120,173,2,67472
"Illinois","<1",2000-01-01,1467,201,30,175439
"Illinois","1 to 5",2000-01-01,1792,3144,2259,882755
"Illinois","6 to 10",2000-01-01,1282,3097,2289,932755
"Illinois","16 to 20",2000-01-01,664,1569,91,537968
"Illinois","11 to 15",2000-01-01,1378,1700,995,896953
"Illinois","16 to 20",2001-01-01,303,1205,88,542455
"Illinois","11 to 15",2001-01-01,1294,1433,761,910322
"Illinois","6 to 10",2001-01-01,1367,2408,1585,922042
"Illinois","1 to 5",2001-01-01,1902,2518,1654,870494
"Illinois","<1",2001-01-01,1482,234,17,182014
"Illinois","<1",2002-01-01,1426,223,19,176591
"Illinois","1 to 5",2002-01-01,1825,2475,1531,868561
"Illinois","6 to 10",2002-01-01,1233,2053,1253,909444
"Illinois","16 to 20",2002-01-01,284,1270,89,541501
"Illinois","11 to 15",2002-01-01,1203,1424,739,921530
"Illinois","16 to 20",2003-01-01,320,1154,48,541429
"Illinois","11 to 15",2003-01-01,1200,1224,534,930675
"Illinois","6 to 10",2003-01-01,1246,1694,901,893441
"Illinois","1 to 5",2003-01-01,1704,2179,1210,867439
"Illinois","<1",2003-01-01,1324,216,13,175067
"Illinois","<1",2004-01-01,1289,204,6,175433
"Illinois","1 to 5",2004-01-01,1732,1997,1048,864924
"Illinois","6 to 10",2004-01-01,1140,1471,687,877452
"Illinois","16 to 20",2004-01-01,337,988,54,541962
"Illinois","11 to 15",2004-01-01,1170,1325,432,933334
"Illinois","16 to 20",2005-01-01,376,826,34,546902
"Illinois","11 to 15",2005-01-01,1140,1171,293,930902
"Illinois","6 to 10",2005-01-01,1108,1448,602,862704
"Illinois","1 to 5",2005-01-01,1745,1975,900,865523
"Illinois","<1",2005-01-01,1348,225,8,170542
"Illinois","<1",2006-01-01,1202,180,6,169033
"Illinois","1 to 5",2006-01-01,1570,1831,885,861250
"Illinois","6 to 10",2006-01-01,973,1323,512,851660
"Illinois","16 to 20",2006-01-01,359,750,43,559039
"Illinois","11 to 15",2006-01-01,899,1041,294,922101
"Illinois","16 to 20",2007-01-01,316,892,33,565801
"Illinois","11 to 15",2007-01-01,954,924,204,913473
"Illinois","6 to 10",2007-01-01,953,1259,484,852656
"Illinois","1 to 5",2007-01-01,1582,1984,945,851475
"Illinois","<1",2007-01-01,1199,202,11,171292
"Illinois","<1",2008-01-01,1368,209,2,167968
"Illinois","1 to 5",2008-01-01,1904,1933,785,850471
"Illinois","6 to 10",2008-01-01,1077,1256,472,855598
"Illinois","11 to 15",2008-01-01,1116,909,185,902682
"Illinois","16 to 20",2008-01-01,377,797,28,567365
"Illinois","<1",2013-01-01,1242,133,2,157125
"Illinois","1 to 5",2013-01-01,1570,1780,690,811195
"Illinois","6 to 10",2013-01-01,1023,1339,457,844660
"Illinois","11 to 15",2013-01-01,897,765,211,861867
"Illinois","16 to 20",2013-01-01,319,578,35,526812
"Illinois","<1",2018-01-01,1443,81,NA,147406
"Illinois","1 to 5",2018-01-01,1861,1645,856,764986
"Illinois","6 to 10",2018-01-01,1203,1156,587,787478
"Illinois","11 to 15",2018-01-01,940,714,276,823237
"Illinois","16 to 20",2018-01-01,301,479,35,501334
"Illinois","16 to 20",2009-01-01,361,821,33,560696
"Illinois","11 to 15",2009-01-01,933,934,202,892963
"Illinois","6 to 10",2009-01-01,978,1308,438,859632
"Illinois","1 to 5",2009-01-01,1699,1929,751,848139
"Illinois","<1",2009-01-01,1205,202,5,164646
"Illinois","<1",2010-01-01,1286,178,1,163767
"Illinois","1 to 5",2010-01-01,1767,1663,649,841265
"Illinois","6 to 10",2010-01-01,978,1097,389,863575
"Illinois","11 to 15",2010-01-01,891,720,153,883917
"Illinois","16 to 20",2010-01-01,381,668,22,555503
"Illinois","<1",2015-01-01,1209,87,2,158613
"Illinois","1 to 5",2015-01-01,1603,1711,903,788711
"Illinois","6 to 10",2015-01-01,947,1216,613,824603
"Illinois","11 to 15",2015-01-01,851,613,238,848126
"Illinois","16 to 20",2015-01-01,310,504,30,511167
"Illinois","<1",2020-01-01,1949,190,1,138571
"Illinois","1 to 5",2020-01-01,2641,1996,815,741375
"Illinois","6 to 10",2020-01-01,1557,1299,433,771305
"Illinois","11 to 15",2020-01-01,1300,868,240,839909
"Illinois","16 to 20",2020-01-01,385,564,33,509896
"Illinois","<1",2011-01-01,1156,140,1,162099
"Illinois","1 to 5",2011-01-01,1643,1536,616,832523
"Illinois","11 to 15",2011-01-01,838,649,194,875972
"Illinois","16 to 20",2011-01-01,345,618,31,548411
"Illinois","6 to 10",2011-01-01,868,1034,375,855363
"Illinois","<1",2012-01-01,1174,159,2,159693
"Illinois","1 to 5",2012-01-01,1665,2116,911,822938
"Illinois","6 to 10",2012-01-01,947,1531,622,848571
"Illinois","11 to 15",2012-01-01,969,903,273,869979
"Illinois","16 to 20",2012-01-01,370,585,37,538272
"Illinois","<1",2014-01-01,1218,138,1,156919
"Illinois","1 to 5",2014-01-01,1587,1804,817,797574
"Illinois","6 to 10",2014-01-01,1039,1255,566,838364
"Illinois","11 to 15",2014-01-01,943,710,253,854196
"Illinois","16 to 20",2014-01-01,379,474,18,516950
"Illinois","<1",2016-01-01,1134,89,4,156029
"Illinois","1 to 5",2016-01-01,1400,1569,771,781316
"Illinois","6 to 10",2016-01-01,888,1117,522,813194
"Illinois","11 to 15",2016-01-01,747,664,216,837652
"Illinois","16 to 20",2016-01-01,286,523,33,509330
"Illinois","6 to 10",2017-01-01,962,1070,574,801077
"Illinois","16 to 20",2017-01-01,267,427,34,506992
"Illinois","11 to 15",2017-01-01,796,622,267,828731
"Illinois","1 to 5",2017-01-01,1577,1584,897,774619
"Illinois","<1",2017-01-01,1239,69,5,150693
"Illinois","16 to 20",2021-01-01,321,584,58,501265
"Illinois","11 to 15",2021-01-01,1164,1005,244,826297
"Illinois","6 to 10",2021-01-01,1396,1530,499,760362
"Illinois","1 to 5",2021-01-01,2231,2404,797,720190
"Illinois","<1",2021-01-01,1748,230,4,131034
"Illinois","<1",2019-01-01,1592,116,4,141867
"Illinois","1 to 5",2019-01-01,2327,1799,901,755887
"Illinois","6 to 10",2019-01-01,1361,1165,514,773429
"Illinois","11 to 15",2019-01-01,1120,780,277,816480
"Illinois","16 to 20",2019-01-01,307,520,51,493540
"Indiana","<1",2021-01-01,1428,341,6,77028
"Indiana","1 to 5",2021-01-01,2468,3460,889,414698
"Indiana","6 to 10",2021-01-01,1605,2188,527,433667
"Indiana","11 to 15",2021-01-01,1400,1707,343,462389
"Indiana","16 to 20",2021-01-01,390,980,79,273643
"Indiana","<1",2019-01-01,1701,454,13,80785
"Indiana","1 to 5",2019-01-01,3121,4395,1303,424580
"Indiana","6 to 10",2019-01-01,2110,2832,720,433544
"Indiana","11 to 15",2019-01-01,1730,2146,378,450766
"Indiana","16 to 20",2019-01-01,518,1069,75,268317
"Indiana","<1",2017-01-01,2294,499,10,81615
"Indiana","1 to 5",2017-01-01,4425,4388,1001,424012
"Indiana","11 to 15",2017-01-01,2308,2034,287,445882
"Indiana","16 to 20",2017-01-01,708,1178,54,272624
"Indiana","6 to 10",2017-01-01,3091,3067,612,437393
"Indiana","<1",2016-01-01,2195,384,12,82983
"Indiana","1 to 5",2016-01-01,4520,3775,804,422782
